source_id_1,vx,vy,vz,En,Lz,flag,apogee,feh,alpha,flag_abund
1500533656213123840,-214.3658278,-78.81634969,22.11154029,-163847.39452957,-682.50942139,2,2M13480879+4219467,-2.1573906,0.36926746,3
1500973598301952000,-128.29855553,83.35500435,-9.53030113,-174768.85277681,709.57154992,1,2M13382761+4119562,-0.7273475,0.2198003,1
1502161002141991040,38.97211128,136.84148569,-17.72259405,-178129.52850801,1268.07450358,0,2M13540338+4344024,-0.31402895,0.16851813,1
1502640354851573376,-74.38655805,-155.93343913,25.78823159,-176197.50724882,-1252.39261657,2,2M13535604+4437076,-1.1951861,0.68647426,2
1504479975243877504,72.52884762,37.0892664,-42.48909955,-186651.85292838,429.97667169,1,2M14154190+4359156,-1.4272436,0.31440103,1
1504785536397328512,-103.86078459,215.01619825,-61.298778,-157460.67364152,1834.7515294,0,2M14184176+4347172,-0.04451009,0.08051097,1
1505148615752865408,9.0287151,-1.64655563,-55.38983501,-188946.4540894,90.92568936,1,2M14130915+4511429,-2.0860496,0.4516403,1
1506088045359108096,281.86983102,-43.2634352,-123.12184845,-141310.69378165,-30.63214969,2,2M14142586+4633146,-1.14175,0.19135201,3
1506387627917936896,-229.69850555,-30.93516014,65.46340432,-162725.85370901,-208.611111,2,2M14082554+4711096,-1.2167106,0.21438514,3
1509180146934539904,-57.70851782,220.64799431,47.06701656,-161093.24768898,1941.69641976,0,2M13584705+4727355,-0.19107127,0.07799596,1
1509324251677281408,66.34659927,-17.71138222,-42.92534783,-185984.08548382,0.88338603,1,2M14042423+4719428,-0.98667276,0.3247667,1
1509607788238564992,115.53290206,12.82740216,0.3778745,-180717.23832761,323.23746952,1,2M13591974+4805355,-2.271116,0.39919087,1
1513140931414783872,-151.15272267,53.32445265,100.85048554,-169452.96190949,421.26111028,1,2M13595766+5319153,-1.2495909,0.25258037,1
1536321797623569664,-157.97331953,-55.20494612,98.94921591,-167150.50212217,-439.40410451,2,2M12164516+4047376,-0.7044849,0.11636108,2
1538556417568188928,-55.98210112,27.97832854,116.29103344,-181154.05967551,334.74963995,1,2M12222814+4349594,-0.40277964,0.23416074,1
1539437538698869248,-133.23740682,68.8781518,32.40447445,-176016.28263316,677.75919615,1,2M12045911+4502536,-0.13133128,0.19317308,1
1541227509271514624,-135.94974978,-5.24393446,-104.42126245,-176034.47027222,38.11824602,2,2M12420573+4519351,-1.3120342,0.1970257,3
1555472403960996352,-63.00919361,-74.4801015,40.48300507,-185337.2179641,-552.77913184,1,2M13034808+4848106,-1.6767341,0.28716302,1
1555504732179894912,187.07862663,115.34487931,55.49659736,-160518.99271401,1220.38814438,1,2M13010647+4843286,-0.33868068,0.22889605,1
1555613278888187392,26.84377583,145.6703535,-18.16489416,-177410.65801899,1352.73689749,0,2M13053345+4931461,-0.09092227,0.12174404,1
1562236977452315136,87.04366155,206.99397528,-8.85420357,-161623.20591035,1930.81358494,0,2M13460701+5508061,0.17539972,0.00308342,1
1562595555682710016,120.67375111,1.75652997,15.82989442,-180322.89092528,221.6791303,1,2M13353054+5613324,-0.39283508,0.15047643,1
1576803921677016704,153.99608958,33.32338581,-61.1982557,-173302.876377,493.02577803,1,2M12511630+5706350,-0.36950707,0.17104761,1
1577275444662706304,-73.50772709,163.06852716,87.91813781,-168133.24908912,1482.62177452,0,2M12554001+5801123,-0.5895487,0.18756366,1
1585563460233811456,137.51848227,-98.37438271,62.68751639,-175142.59128011,-569.24671077,2,2M14572619+4301560,-1.424598,0.26532605,3
1597311256644035968,-199.49554283,-29.83773401,86.08540343,-165297.94700477,-472.77506073,2,2M15554589+5416558,-1.7216841,0.32335246,3
1597571535958229376,-94.29553125,81.35647293,79.37907705,-177162.05913653,627.68007156,1,2M15545287+5512436,-0.47125947,0.25270307,1
1605575357837096064,-112.19908666,31.92265603,31.29014689,-183412.5836724,322.54041718,1,2M14473855+5153295,-0.1963634,0.02863321,1
1607938040822677760,120.24595203,-7.08245616,-48.77293085,-180227.77511914,157.65735425,1,2M14220197+5224019,-0.4876079,0.20279036,1
1608259304376488960,146.853722,-29.66889964,-69.84551201,-174148.55970043,22.09316646,2,2M14180845+5340109,-0.6507151,0.13092735,2
1687975340498851840,26.59892961,219.86372061,-15.33182207,-162531.18084697,2023.82363605,0,2M13211787+7233251,0.22812285,0.00750981,1
1743984703336323328,-145.09059808,290.88226427,44.66918345,-137145.18920831,1976.38686365,1,2M21165891+1016516,-0.33686832,0.20719868,1
1744703577782813312,79.66067228,188.32577287,17.47455057,-171170.39177986,1631.52843253,0,2M21121431+1034409,0.23581472,0.00301487,1
1745719354727725184,78.67526245,-102.27030618,-113.10141358,-180276.84013752,-520.02114034,1,2M21291954+1105045,-1.2185721,0.20209336,1
1745905240916336256,-34.48667548,235.18039572,17.1274509,-161537.68214423,2001.25860614,0,2M21315517+1202486,-0.19848128,0.04347181,1
1746063089550420096,63.43874303,27.0080624,60.10434922,-189293.15342347,389.52184898,1,2M21240868+1151462,-0.60564953,0.22650765,1
1746897030464354432,-167.96050746,134.4832312,-32.59256316,-168573.37514692,806.92191359,1,2M21235315+1244123,-0.6362459,0.25074673,1
1770025433649684608,127.53894666,8.98724403,-56.78559544,-182798.27848876,234.4312931,1,2M21333033+1246583,-1.6825517,0.3842805,1
1775352906791899008,-43.35153131,198.44375707,-0.0370908,-169086.86042234,1672.89878663,0,2M22082950+1654152,0.06312416,0.03404412,1
1775832332511995008,27.88268193,219.63078042,-30.05532259,-164754.29084095,1917.54826999,0,2M21590210+1631005,0.0392643,-0.00604692,1
1837272561249336960,58.73253214,245.50045714,3.7547725,-159479.3407556,2093.37795024,0,2M20111536+2839555,0.03209276,-0.01628045,1
1852399809713940224,-112.81699065,24.36311611,-120.77842298,-178571.51810558,17.30559308,2,2M21034475+2941341,-1.3241912,0.19958429,3
1936464865300949760,7.58988422,228.29497636,1.99983701,-158280.64468282,2176.15262787,0,2M23065180+4719501,-0.12175821,0.01927692,1
1972840695682495360,33.18009031,196.01266568,-5.62500534,-168855.81825026,1799.55182452,0,2M21490191+4339029,-0.07965559,-0.0075984,1
1976800891747463808,115.26418874,226.01667504,28.69777082,-153638.8110723,2316.58472392,0,2M22022321+4905336,0.029387,-8.4752E-4,1
2051694027492941696,102.9311514,227.64154908,11.31334541,-160011.6318851,2037.16063969,0,2M19261297+3648265,0.02186592,0.00514208,1
2051863730241884544,147.95411485,165.04873468,-15.83264192,-167156.31120705,1686.91012332,0,2M19320042+3801031,-0.00821109,0.1376976,1
2053609612965042816,35.68721372,250.6588446,8.96328706,-158015.11489809,2150.73934255,0,2M19300901+4110598,0.12802279,-0.00391411,1
2064191970004763520,-12.60733795,196.02617507,-8.55932661,-170885.73391524,1696.03978584,0,2M20293358+3918079,0.40089604,-0.02497561,1
2066660717208970368,-258.45137356,-18.91899861,-4.81368192,-158821.24046119,-300.71586026,2,2M20472235+4220523,-1.4230082,0.26932606,3
2070953485489418624,76.16114016,201.3007683,-1.63077452,-166256.34327857,1889.67891199,0,2M20294909+4505560,0.04085267,-0.0245824,1
2073179442474745088,46.75760101,226.12075855,14.80429142,-163919.22430249,1960.25569531,0,2M19445164+3901343,0.11969348,-0.03782951,1
2073541323552446976,35.01936825,226.45135684,44.52186452,-163074.28295218,1939.53562665,0,2M19562833+4014049,-0.1882038,0.03337014,1
2076270208325481344,52.69745197,191.07207364,-4.42947451,-171419.24740006,1688.11643047,0,2M19410084+3938023,0.12685454,-0.00701243,1
2076895246321863680,81.054277,208.09973926,-42.16440922,-164570.51381274,1882.813786,0,2M19491731+4137234,-0.10690565,0.02534947,1
2077502004940507264,10.27180731,251.44873772,47.84643121,-156695.11259539,2176.95804276,0,2M19362788+4135051,-0.17098352,0.18155755,1
2078926559693419008,17.00508717,158.98577535,17.56426915,-177746.4998839,1412.58729151,0,2M19465104+4412012,-0.17061476,0.0417137,1
2080331907350333312,-24.43464467,218.44240788,15.44834942,-165322.68112272,1897.11716178,0,2M19464551+4635020,0.064835,-0.02497513,1
2080589330509828224,-38.06573794,205.7859347,2.84155641,-167824.29756347,1734.3389551,0,2M19451221+4735348,-0.17266682,0.02971949,1
2086492775938243328,138.74361778,190.24409141,13.06353037,-161344.66908947,1952.24663185,0,2M19532314+4810355,-0.19674867,0.0475062,1
2086498793193889024,53.79418661,246.58910717,-16.66272344,-156760.08716251,2209.00443496,0,2M19540805+4822531,0.17981899,0.03607134,1
2086546720727457152,69.07117559,200.18631849,18.18946975,-167137.97344577,1814.15902314,0,2M19515243+4826440,-0.01647234,-0.00587141,1
2086801399406676864,29.92530241,224.129819,-30.85092088,-163341.46465479,1982.61481586,0,2M19470600+4901232,-0.06176353,0.01262349,1
2086874413851892608,247.51633706,-54.12960322,14.28859449,-160314.89000927,70.2267947,2,2M19541956+4827058,-0.43576604,0.22783089,2
2086875822601270144,140.92593371,104.41665302,-146.70453118,-163842.63140261,1279.29288771,1,2M19545905+4830067,-0.7795411,0.23655707,1
2099171691193663872,-67.14647645,31.9399265,-41.44529496,-188818.6620888,321.7152774,1,2M19060736+3740100,-0.4427576,0.20508885,1
2099659187162016512,41.90989101,-11.92714448,-134.18355117,-183879.0907923,93.55557534,1,2M19101186+3917181,-1.5518465,0.30844507,1
2099667231638229120,34.08733345,217.87022554,3.25944819,-166394.98325029,1877.79635574,0,2M19125144+3850261,-0.03836263,0.01054851,1
2099783161396656512,7.51244536,229.80192734,-19.02103748,-163954.83919518,1936.53290254,0,2M19133796+3953167,0.23862179,0.01883942,1
2100391844160107904,-155.60204487,131.30615518,74.69819071,-168276.56806666,963.84029156,1,2M19063068+3909078,-0.4434282,0.12427397,1
2101073232134425856,47.1507408,253.00081673,-12.6814528,-156962.45781154,2181.86329431,0,2M19220588+3940299,0.01530272,-0.00929432,1
2101401672574742400,-145.59314506,228.51340024,52.61378701,-152422.87724728,1559.02448203,1,2M19203177+4104010,-0.4772979,0.23487857,1
2101432149662610816,-60.32398202,-133.18600683,-21.9154114,-183893.33597293,-1049.42701569,1,2M19175558+4056477,-1.3416619,0.3306545,1
2101463107786855936,-318.62832517,44.71263011,-8.90699035,-140741.52474617,80.50286808,2,2M19182272+4114094,-0.6663794,-0.03636552,3
2101626595722455040,19.60606845,182.66122209,2.95067776,-173752.71758474,1602.5677599,0,2M19243779+4132516,-0.0164026,0.06230544,1
2101942288694401792,-83.65457407,208.62789809,-15.51925717,-164378.25785807,1804.8108168,0,2M19231283+4219574,-0.19707564,0.02394191,1
2102124743207232128,-15.48653874,217.76150948,5.97209427,-166762.23406784,1797.86236886,0,2M19141495+4118432,-0.01323252,-0.02320237,1
2102207790694152832,-111.33727253,198.65867182,-48.87183843,-163691.28177813,1498.0445818,0,2M19170300+4125133,-0.6033954,0.21916732,1
2102218815871666816,67.21340537,207.28014936,-12.10726768,-166831.39314105,1841.34967683,0,2M19150275+4125281,0.33972144,0.03055018,1
2102705938181969408,-50.46159185,-40.41730375,-52.81284326,-189878.08398836,-332.23736739,1,2M19160765+4246319,-2.3363411,0.50273085,1
2103831524550631936,182.11460108,69.74260985,10.70852717,-172960.26594964,808.91573531,1,2M19011396+4109061,-0.82574433,0.2269416,1
2103956800156615936,-153.92548822,188.25688008,-34.10360377,-160852.80186953,1309.20541336,1,2M19031299+4131521,-0.67851675,0.30506015,1
